S,I,R,p_I,p_R,t
53,7,0,0.0261155,0.01,0
46,13,1,0.0201419,0.01,1
35,24,1,0.0246686,0.01,2
20,38,2,0.0266298,0.01,3
6,52,2,0.00998245,0.01,4
1,57,2,0.0184497,0.01,5
0,58,2,0.0179901,0.01,6
0,58,2,0.0279072,0.01,7
0,57,3,0.0240091,0.01,8
0,57,3,0.00804679,0.01,9
0,56,4,0.0174735,0.01,10
0,55,5,0.0115582,0.01,11
0,55,5,0.00557724,0.01,12
0,55,5,0.0279219,0.01,13
0,55,5,0.00796544,0.01,14
0,54,6,0.0066609,0.01,15
0,53,7,0.0296008,0.01,16
0,53,7,0.0173689,0.01,17
0,52,8,0.0116566,0.01,18
0,51,9,0.0108312,0.01,19
0,51,9,0.0201454,0.01,20
0,50,10,0.0168374,0.01,21
0,50,10,0.0141088,0.01,22
0,50,10,0.0257888,0.01,23
0,50,10,0.0228105,0.01,24
0,50,10,0.0292043,0.01,25
0,50,10,0.00630763,0.01,26
0,50,10,0.0260309,0.01,27
0,50,10,0.014919,0.01,28
0,49,11,0.0204598,0.01,29
0,47,13,0.0212357,0.01,30
0,47,13,0.0166621,0.01,31
0,47,13,0.0208966,0.01,32
0,47,13,0.0170607,0.01,33
0,46,14,0.0297345,0.01,34
0,46,14,0.0194498,0.01,35
0,45,15,0.025422,0.01,36
0,45,15,0.0189538,0.01,37
0,42,18,0.0114014,0.01,38
0,42,18,0.00886535,0.01,39
0,42,18,0.0222024,0.01,40
0,42,18,0.0210766,0.01,41
0,41,19,0.0298888,0.01,42
0,41,19,0.0228159,0.01,43
0,40,20,0.0215868,0.01,44
0,40,20,0.0105896,0.01,45
0,40,20,0.0235106,0.01,46
0,40,20,0.0220425,0.01,47
0,40,20,0.0235661,0.01,48
0,40,20,0.0275279,0.01,49
0,38,22,0.0291162,0.01,50
0,38,22,0.00955183,0.01,51
0,38,22,0.015172,0.01,52
0,38,22,0.0099431,0.01,53
0,38,22,0.013143,0.01,54
0,37,23,0.0242105,0.01,55
0,37,23,0.0130603,0.01,56
0,37,23,0.0108115,0.01,57
0,37,23,0.018349,0.01,58
0,37,23,0.0186564,0.01,59
0,37,23,0.0203953,0.01,60
0,37,23,0.0270072,0.01,61
0,35,25,0.0124392,0.01,62
0,34,26,0.0260601,0.01,63
0,33,27,0.0150315,0.01,64
0,33,27,0.0173476,0.01,65
0,33,27,0.0123477,0.01,66
0,32,28,0.025666,0.01,67
0,32,28,0.0277159,0.01,68
0,32,28,0.0112058,0.01,69
0,28,32,0.0290802,0.01,70
0,27,33,0.005003,0.01,71
0,27,33,0.0255379,0.01,72
0,27,33,0.0140211,0.01,73
0,27,33,0.0290926,0.01,74
0,27,33,0.00877985,0.01,75
0,27,33,0.015439,0.01,76
0,27,33,0.027643,0.01,77
0,27,33,0.0137838,0.01,78
0,26,34,0.00777913,0.01,79
0,25,35,0.0200751,0.01,80
0,25,35,0.0109518,0.01,81
0,24,36,0.0202764,0.01,82
0,24,36,0.0282674,0.01,83
0,24,36,0.0117484,0.01,84
0,23,37,0.0230147,0.01,85
0,23,37,0.024006,0.01,86
0,23,37,0.0206533,0.01,87
0,23,37,0.0257602,0.01,88
0,23,37,0.00957631,0.01,89
0,23,37,0.018225,0.01,90
0,23,37,0.00977753,0.01,91
0,23,37,0.0120691,0.01,92
0,21,39,0.0256326,0.01,93
0,21,39,0.00748056,0.01,94
0,21,39,0.0205502,0.01,95
0,21,39,0.0115832,0.01,96
0,21,39,0.0254332,0.01,97
0,20,40,0.00893981,0.01,98
0,20,40,0.017246,0.01,99
