S,I,R,p_I,p_R,t
961,39,0,0.160835,0.162565,0
17,827,156,0.061684,0.121409,1
0,740,260,0.0648344,0.0856591,2
0,674,326,0.0662493,0.165467,3
0,577,423,0.142516,0.0645215,4
0,543,457,0.1437,0.130375,5
0,461,539,0.0912822,0.15378,6
0,391,609,0.113231,0.164193,7
0,327,673,0.0987313,0.0652016,8
0,309,691,0.127826,0.106498,9
0,287,713,0.123261,0.100785,10
0,253,747,0.107957,0.143643,11
0,225,775,0.15854,0.125947,12
0,192,808,0.121501,0.125137,13
0,168,832,0.147043,0.153706,14
0,133,867,0.112771,0.101935,15
0,121,879,0.063751,0.120853,16
0,106,894,0.106608,0.131726,17
0,87,913,0.105663,0.0754168,18
0,77,923,0.149051,0.0992723,19
0,71,929,0.0788324,0.0695254,20
0,64,936,0.087938,0.144301,21
0,58,942,0.147393,0.098763,22
0,47,953,0.0833995,0.133945,23
0,41,959,0.147279,0.140365,24
0,37,963,0.132719,0.107575,25
0,35,965,0.0754833,0.0783674,26
0,30,970,0.102979,0.0823096,27
0,28,972,0.098423,0.143689,28
0,24,976,0.0821004,0.0714686,29
0,22,978,0.0588531,0.0972455,30
0,20,980,0.0730761,0.096397,31
0,18,982,0.0975979,0.0938308,32
0,18,982,0.108644,0.114137,33
0,17,983,0.113208,0.146375,34
0,15,985,0.140206,0.0993905,35
0,14,986,0.122503,0.153824,36
0,12,988,0.158854,0.117033,37
0,10,990,0.0642411,0.120449,38
0,10,990,0.0630864,0.0609355,39
0,9,991,0.117953,0.0612127,40
0,9,991,0.160074,0.158008,41
0,8,992,0.12222,0.107069,42
0,8,992,0.145036,0.0871622,43
0,8,992,0.0817708,0.120075,44
0,7,993,0.083354,0.151717,45
0,7,993,0.0841346,0.15138,46
0,5,995,0.0673844,0.105432,47
0,4,996,0.139107,0.140047,48
0,4,996,0.0853574,0.0889066,49
0,4,996,0.0640979,0.0891945,50
0,4,996,0.0760086,0.0993817,51
0,4,996,0.136908,0.1351,52
0,4,996,0.162809,0.0821429,53
0,4,996,0.0565634,0.093071,54
0,4,996,0.134192,0.171944,55
0,3,997,0.0648161,0.0713235,56
0,3,997,0.0718023,0.0769132,57
0,3,997,0.0732662,0.0704352,58
0,3,997,0.0619609,0.117659,59
0,3,997,0.0802305,0.0743849,60
0,3,997,0.0723537,0.0820183,61
0,3,997,0.0999665,0.0947824,62
0,2,998,0.16271,0.15089,63
0,2,998,0.0770352,0.139771,64
0,2,998,0.115783,0.136188,65
0,2,998,0.0866952,0.170793,66
0,2,998,0.131568,0.161808,67
0,1,999,0.115408,0.0646499,68
0,1,999,0.0627918,0.123873,69
0,0,1000,0.0630861,0.163565,70
0,0,1000,0.071933,0.147702,71
0,0,1000,0.0916075,0.0906033,72
0,0,1000,0.127954,0.0938725,73
0,0,1000,0.111376,0.0743817,74
0,0,1000,0.0948543,0.13461,75
0,0,1000,0.0599148,0.059088,76
0,0,1000,0.149597,0.16494,77
0,0,1000,0.0752557,0.0888603,78
0,0,1000,0.133185,0.0899272,79
0,0,1000,0.150608,0.162014,80
0,0,1000,0.140337,0.0674635,81
0,0,1000,0.112952,0.127299,82
0,0,1000,0.0969361,0.0954084,83
0,0,1000,0.126459,0.0916739,84
0,0,1000,0.148051,0.0962516,85
0,0,1000,0.0695662,0.157401,86
0,0,1000,0.162355,0.10902,87
0,0,1000,0.0977782,0.094599,88
0,0,1000,0.125864,0.0662474,89
0,0,1000,0.109593,0.100161,90
0,0,1000,0.101711,0.123011,91
0,0,1000,0.15494,0.0844673,92
0,0,1000,0.0557494,0.132923,93
0,0,1000,0.111506,0.140703,94
0,0,1000,0.0715251,0.106121,95
0,0,1000,0.150303,0.0673672,96
0,0,1000,0.119604,0.124096,97
0,0,1000,0.148251,0.137565,98
0,0,1000,0.138313,0.11936,99
